"D_or_L","Origin_Warehouse","Destination","Carrier","ShipWeekday","Shipment_Date","Delivery_Date","Transit_Days","Distance_miles","Weight_kg","Cost"
"0","Warehouse_BOS","Dallas","OnTrac","Tuesday",2023-07-04,2023-07-08,4,1048,30.2,162.68
"0","Warehouse_CHI","New York","FedEx","Wednesday",2023-09-27,2023-10-01,4,1551,11.3,206.19
"1","Warehouse_SF","Denver","USPS","Sunday",2023-03-26,2023-04-02,7,431,15.8,66.35
"0","Warehouse_SEA","Denver","OnTrac","Tuesday",2023-02-21,2023-02-23,2,528,10.7,76.52
"1","Warehouse_BOS","Dallas","OnTrac","Sunday",2023-07-16,2023-07-17,1,131,37.7,55.09
"1","Warehouse_ATL","Los Angeles","FedEx","Friday",2023-06-02,2023-06-18,16,659,27.9,123.81
"0","Warehouse_SF","Dallas","Amazon Logistics","Monday",2023-11-06,2023-11-11,5,2209,26.6,333.35
"0","Warehouse_SF","Detroit","LaserShip","Saturday",2023-11-04,2023-11-10,6,1674,30.7,282.71
"0","Warehouse_MIA","New York","LaserShip","Friday",2023-12-08,2023-12-12,4,1204,65.2,284.81
"0","Warehouse_BOS","Denver","Amazon Logistics","Wednesday",2023-10-04,2023-10-10,6,1550,13.4,209.01
"0","Warehouse_NYC","Los Angeles","UPS","Saturday",2023-05-13,2023-05-17,4,1696,31.9,263.06
"0","Warehouse_NYC","Los Angeles","USPS","Friday",2023-12-29,2024-01-01,3,660,37.8,129.73
"0","Warehouse_SEA","New York","DHL","Thursday",2023-03-09,2023-03-13,4,1153,17.4,194.58
"0","Warehouse_CHI","San Francisco","OnTrac","Monday",2023-05-08,2023-05-11,3,343,4.7,49.68
"0","Warehouse_NYC","Miami","LaserShip","Monday",2023-04-24,2023-04-29,5,1973,29.7,245.98
"0","Warehouse_LA","Los Angeles","DHL","Tuesday",2023-09-05,2023-09-11,6,2335,9,356.77
"0","Warehouse_SF","Dallas","USPS","Tuesday",2023-01-17,2023-01-20,3,816,25.4,127.22
"0","Warehouse_SF","Phoenix","LaserShip","Sunday",2023-04-23,2023-04-30,7,1758,14.2,248.03
"0","Warehouse_MIA","Boston","UPS","Saturday",2023-01-07,2023-01-11,4,1010,84.1,251.24
"1","Warehouse_MIA","New York","FedEx","Sunday",2023-08-06,2023-08-22,16,2396,29.5,340.07
"0","Warehouse_SEA","Minneapolis","USPS","Thursday",2023-02-23,2023-02-28,5,1267,19.6,156.03
"0","Warehouse_BOS","Chicago","Amazon Logistics","Friday",2023-01-27,2023-02-01,5,1365,25.9,206.17
"0","Warehouse_BOS","Dallas","UPS","Saturday",2023-02-18,2023-02-23,5,1847,26.6,277.97
"0","Warehouse_DEN","Minneapolis","LaserShip","Thursday",2023-05-11,2023-05-17,6,2249,31.6,283.13
"0","Warehouse_CHI","Chicago","OnTrac","Wednesday",2023-09-27,2023-09-30,3,342,24.7,68.63
"0","Warehouse_SF","Minneapolis","LaserShip","Friday",2023-04-14,2023-04-19,5,1913,23.2,231.64
"1","Warehouse_HOU","Los Angeles","LaserShip","Thursday",2023-10-26,2023-10-29,3,255,6.8,42.06
"0","Warehouse_SF","Los Angeles","USPS","Wednesday",2023-10-11,2023-10-13,2,600,8.9,78.37
"0","Warehouse_BOS","San Francisco","OnTrac","Wednesday",2023-11-01,2023-11-06,5,622,28.5,128.94
"0","Warehouse_HOU","Denver","OnTrac","Tuesday",2023-10-10,2023-10-13,3,1030,59.8,196.89
"0","Warehouse_ATL","Chicago","LaserShip","Friday",2023-08-04,2023-08-07,3,708,9.8,93.3
"1","Warehouse_SEA","Detroit","FedEx","Tuesday",2023-05-23,2023-06-10,18,1914,61.9,316.41
"0","Warehouse_BOS","Los Angeles","UPS","Sunday",2023-07-16,2023-07-19,3,740,25.6,128.53
"0","Warehouse_CHI","Los Angeles","UPS","Friday",2023-10-13,2023-10-16,3,1007,67.6,232.32
"0","Warehouse_LA","Miami","LaserShip","Sunday",2023-04-23,2023-04-27,4,864,50.3,152.13
"0","Warehouse_SF","Miami","Amazon Logistics","Monday",2023-04-03,2023-04-09,6,2463,15.9,325.16
"0","Warehouse_SEA","Seattle","DHL","Sunday",2023-06-11,2023-06-14,3,998,42.3,195.98
"0","Warehouse_SEA","Atlanta","FedEx","Friday",2023-09-01,2023-09-09,8,1801,26.2,261.81
"0","Warehouse_SEA","Houston","FedEx","Wednesday",2023-05-31,2023-06-04,4,989,35.7,180.2
"1","Warehouse_HOU","Chicago","DHL","Monday",2023-04-17,2023-04-26,9,383,6.9,56.51
"0","Warehouse_CHI","Seattle","OnTrac","Tuesday",2023-06-20,2023-06-25,5,2307,30.7,197.9
"1","Warehouse_NYC","Los Angeles","LaserShip","Saturday",2023-03-04,2023-03-13,9,1727,10.8,225.74
"0","Warehouse_MIA","Phoenix","UPS","Monday",2023-02-27,2023-03-02,3,757,93,221.01
"0","Warehouse_HOU","Dallas","OnTrac","Monday",2023-07-31,2023-08-04,4,1673,35.3,261.49
"0","Warehouse_DEN","Houston","Amazon Logistics","Sunday",2023-11-12,2023-11-13,1,319,25.4,85.28
"1","Warehouse_CHI","Seattle","USPS","Monday",2023-07-31,2023-08-02,2,994,20.8,130.21
"0","Warehouse_LA","Portland","UPS","Wednesday",2023-11-29,2023-12-02,3,612,10.9,119.38
"1","Warehouse_SF","Detroit","UPS","Friday",2023-06-30,2023-07-10,10,2214,22.4,309.17
"0","Warehouse_LA","Los Angeles","LaserShip","Tuesday",2023-04-04,2023-04-07,3,1051,15.1,152.16
"0","Warehouse_SF","New York","DHL","Tuesday",2023-03-14,2023-03-19,5,1714,22.9,289.37
"0","Warehouse_CHI","Denver","OnTrac","Sunday",2023-05-07,2023-05-09,2,1000,14.1,144.14
"0","Warehouse_SF","Phoenix","LaserShip","Saturday",2023-11-04,2023-11-12,8,2210,9.3,333.26
"0","Warehouse_CHI","Atlanta","FedEx","Sunday",2023-07-02,2023-07-06,4,1510,22.9,233.89
"0","Warehouse_CHI","Los Angeles","UPS","Thursday",2023-04-06,2023-04-12,6,1777,31.7,282.19
"0","Warehouse_SEA","Minneapolis","DHL","Wednesday",2023-11-22,2023-11-29,7,2388,13.5,422.32
"1","Warehouse_CHI","Chicago","OnTrac","Tuesday",2023-11-21,2023-11-30,9,1284,17.1,214.99
"0","Warehouse_HOU","Miami","USPS","Wednesday",2023-06-21,2023-06-24,3,1198,37,184.07
"0","Warehouse_NYC","Portland","LaserShip","Friday",2023-11-10,2023-11-14,4,1482,127.8,247.54
"0","Warehouse_MIA","Chicago","OnTrac","Friday",2023-01-27,2023-01-29,2,530,10.8,83.32
"1","Warehouse_ATL","Los Angeles","Amazon Logistics","Tuesday",2023-11-28,2023-12-09,11,920,8.5,151.64
"0","Warehouse_DEN","Los Angeles","LaserShip","Wednesday",2023-04-26,2023-05-01,5,1950,16,277.61
"0","Warehouse_MIA","Houston","UPS","Friday",2023-03-03,2023-03-08,5,2233,32.9,337.04
"0","Warehouse_ATL","San Francisco","OnTrac","Monday",2023-04-17,2023-04-24,7,1022,29.5,167.82
"0","Warehouse_MIA","Detroit","Amazon Logistics","Saturday",2023-07-01,2023-07-04,3,1447,18.6,191.08
"0","Warehouse_MIA","Atlanta","DHL","Sunday",2023-08-20,2023-08-21,1,241,9.6,42.77
"0","Warehouse_MIA","Atlanta","Amazon Logistics","Tuesday",2023-09-19,2023-09-23,4,1554,80.4,259.98
"0","Warehouse_BOS","Miami","OnTrac","Wednesday",2023-05-10,2023-05-15,5,2053,11.1,273.63
"0","Warehouse_SEA","Phoenix","LaserShip","Tuesday",2023-07-18,2023-07-21,3,1158,14.6,141.34
"0","Warehouse_CHI","Atlanta","Amazon Logistics","Monday",2023-04-10,2023-04-17,7,2109,11.9,277.05
"0","Warehouse_DEN","Miami","LaserShip","Monday",2023-08-28,2023-08-30,2,179,51,197.9
"0","Warehouse_BOS","Houston","DHL","Monday",2023-07-17,2023-07-24,7,2465,8.6,352.85
"0","Warehouse_BOS","New York","Amazon Logistics","Saturday",2023-01-14,2023-01-25,11,2366,6.3,283.56
"0","Warehouse_SEA","New York","FedEx","Wednesday",2023-12-13,2023-12-16,3,543,16.6,121.29
"1","Warehouse_MIA","New York","DHL","Sunday",2023-04-23,2023-05-06,13,1682,40.7,270.27
"0","Warehouse_HOU","Denver","OnTrac","Saturday",2023-08-19,2023-08-22,3,1030,22.6,149.52
"0","Warehouse_NYC","Chicago","UPS","Sunday",2023-07-30,2023-08-02,3,790,44.3,140.74
"0","Warehouse_MIA","Minneapolis","LaserShip","Tuesday",2023-08-15,2023-08-19,4,1534,12.8,198.31
"0","Warehouse_DEN","Phoenix","LaserShip","Wednesday",2023-12-13,2023-12-17,4,371,16.5,73.12
"0","Warehouse_CHI","Houston","DHL","Friday",2023-09-22,2023-09-29,7,2306,46.1,409.06
"0","Warehouse_SF","New York","FedEx","Wednesday",2023-05-24,2023-05-29,5,1810,19.2,273.26
"1","Warehouse_HOU","Chicago","Amazon Logistics","Thursday",2023-02-02,2023-02-16,14,277,7.6,41.42
"0","Warehouse_CHI","Chicago","USPS","Wednesday",2023-06-07,2023-06-13,6,1953,38.1,272.16
"0","Warehouse_SF","Los Angeles","FedEx","Saturday",2023-03-04,2023-04-03,30,1800,23.2,270.43
"0","Warehouse_NYC","Portland","LaserShip","Thursday",2023-07-20,2023-07-25,5,1951,22.8,267.89
"0","Warehouse_BOS","Houston","FedEx","Thursday",2023-01-05,2023-01-12,7,1744,18.8,249.35
"0","Warehouse_CHI","Minneapolis","Amazon Logistics","Thursday",2023-05-18,2023-05-22,4,1323,14,171.55
"1","Warehouse_DEN","Denver","OnTrac","Friday",2023-03-24,2023-04-01,8,1646,17.6,215.18
"0","Warehouse_DEN","Minneapolis","DHL","Monday",2023-07-10,2023-07-11,1,261,21.6,64.74
"0","Warehouse_SEA","Denver","Amazon Logistics","Tuesday",2023-09-26,2023-10-02,6,2330,8.2,278.34
"0","Warehouse_CHI","Houston","FedEx","Monday",2023-03-06,2023-03-11,5,973,25.1,165.41
"0","Warehouse_HOU","New York","Amazon Logistics","Thursday",2023-05-18,2023-05-25,7,2399,14.4,280.59
"0","Warehouse_ATL","Phoenix","OnTrac","Thursday",2023-08-10,2023-08-14,4,1297,50.1,210.77
"0","Warehouse_ATL","San Francisco","USPS","Wednesday",2023-04-05,2023-04-11,6,1200,20.3,150.38
"0","Warehouse_CHI","Miami","USPS","Wednesday",2023-06-28,2023-07-02,4,1350,11.8,180.52
"0","Warehouse_SEA","Miami","UPS","Saturday",2023-09-02,2023-09-09,7,2188,90.2,384.64
"0","Warehouse_LA","Miami","UPS","Thursday",2023-10-05,2023-10-13,8,1075,30.1,156.74
"0","Warehouse_BOS","Miami","LaserShip","Wednesday",2023-10-18,2023-10-27,9,1260,3.2,159.82
"0","Warehouse_MIA","Miami","LaserShip","Monday",2023-04-17,2023-04-22,5,1926,31.9,260.72
"0","Warehouse_MIA","Phoenix","LaserShip","Friday",2023-12-01,2023-12-06,5,2204,15.1,321.82
"0","Warehouse_SF","Seattle","OnTrac","Friday",2023-05-26,2023-06-02,7,2048,19.2,253.39
"0","Warehouse_DEN","San Francisco","DHL","Friday",2023-07-07,2023-07-11,4,815,8.4,197.9
"0","Warehouse_NYC","Atlanta","UPS","Saturday",2023-12-23,2023-12-26,3,870,26.4,186.75
"0","Warehouse_SF","Portland","LaserShip","Tuesday",2023-01-03,2023-01-10,7,2314,24.4,313.23
"0","Warehouse_LA","San Francisco","DHL","Saturday",2023-09-16,2023-09-19,3,1070,59.4,234.64
"0","Warehouse_CHI","Miami","FedEx","Saturday",2023-11-04,2023-11-10,6,1350,15.9,257.13
"0","Warehouse_DEN","Boston","Amazon Logistics","Friday",2023-02-10,2023-02-14,4,1476,17.5,208.17
"0","Warehouse_NYC","Houston","OnTrac","Wednesday",2023-11-08,2023-11-11,3,672,66.5,199.04
"0","Warehouse_CHI","Houston","USPS","Friday",2023-03-10,2023-03-13,3,1300,19.4,169.99
"0","Warehouse_SEA","Portland","USPS","Saturday",2023-12-02,2023-12-04,2,593,48,133.98
"0","Warehouse_BOS","Chicago","USPS","Sunday",2023-10-15,2023-10-20,5,1939,18.4,237.17
"0","Warehouse_NYC","Chicago","OnTrac","Friday",2023-01-06,2023-01-09,3,790,38.9,137.82
"0","Warehouse_LA","San Francisco","OnTrac","Sunday",2023-02-05,2023-02-12,7,2497,36.6,310.16
"0","Warehouse_SEA","New York","USPS","Friday",2023-05-05,2023-05-07,2,510,19.2,81.43
"1","Warehouse_HOU","Atlanta","UPS","Monday",2023-07-03,2023-07-10,7,800,23.4,142.13
"0","Warehouse_BOS","Portland","USPS","Saturday",2023-08-12,2023-08-17,5,1459,23.7,197.9
"0","Warehouse_ATL","San Francisco","UPS","Friday",2023-07-14,2023-07-19,5,2262,66.8,336.2
"0","Warehouse_NYC","Minneapolis","Amazon Logistics","Tuesday",2023-07-25,2023-07-31,6,2078,25.8,258.31
"1","Warehouse_LA","New York","DHL","Monday",2023-05-22,2023-06-07,16,775,38.2,151.35
"0","Warehouse_SF","Phoenix","LaserShip","Saturday",2023-05-27,2023-06-01,5,2080,11.6,278.85
"1","Warehouse_ATL","San Francisco","UPS","Wednesday",2023-11-15,2023-11-30,15,573,21.8,123.4
"0","Warehouse_HOU","Seattle","FedEx","Thursday",2023-03-30,2023-04-02,3,1125,11.5,167.08
"1","Warehouse_MIA","Chicago","LaserShip","Thursday",2023-11-02,2023-11-17,15,382,45,118.74
"0","Warehouse_MIA","Minneapolis","DHL","Monday",2023-05-15,2023-05-19,4,2192,55.3,362.11
"0","Warehouse_SF","Seattle","USPS","Saturday",2023-07-22,2023-07-27,5,2161,12.2,278.15
"0","Warehouse_LA","New York","FedEx","Tuesday",2023-03-07,2023-03-12,5,2244,54.9,332.76
"0","Warehouse_SEA","Seattle","LaserShip","Thursday",2023-05-04,2023-05-06,2,561,11.9,83.93
"0","Warehouse_NYC","Phoenix","Amazon Logistics","Thursday",2023-12-07,2023-12-09,2,388,11.5,69.7
"0","Warehouse_HOU","Portland","UPS","Sunday",2023-05-14,2023-05-23,9,2453,32.2,334.49
"0","Warehouse_LA","Atlanta","UPS","Sunday",2023-11-12,2023-11-16,4,821,22.1,169.82
"0","Warehouse_HOU","Chicago","LaserShip","Tuesday",2023-09-19,2023-09-23,4,1566,23.8,206.9
"0","Warehouse_BOS","Houston","USPS","Tuesday",2023-03-14,2023-03-16,2,465,22.1,79.13
"0","Warehouse_CHI","Miami","Amazon Logistics","Tuesday",2023-10-17,2023-10-21,4,1350,19.7,196.56
"0","Warehouse_CHI","Atlanta","USPS","Tuesday",2023-09-19,2023-09-21,2,648,14.6,94.67
"0","Warehouse_LA","Denver","OnTrac","Sunday",2023-11-19,2023-11-21,2,586,23.3,117.91
"0","Warehouse_SEA","Minneapolis","FedEx","Saturday",2023-05-06,2023-05-11,5,1964,20.2,309.57
"0","Warehouse_LA","Miami","UPS","Wednesday",2023-08-23,2023-08-25,2,143,5.7,24.11
"0","Warehouse_CHI","Houston","Amazon Logistics","Tuesday",2023-07-25,2023-07-29,4,1262,7.5,157.13
"0","Warehouse_DEN","Phoenix","FedEx","Friday",2023-09-01,2023-09-06,5,2302,84.2,414.53
"0","Warehouse_MIA","Atlanta","USPS","Monday",2023-09-25,2023-09-28,3,679,18.2,103.05
"0","Warehouse_LA","Chicago","Amazon Logistics","Friday",2023-09-15,2023-09-17,2,755,12.9,114.88
"0","Warehouse_SEA","New York","Amazon Logistics","Sunday",2023-04-23,2023-05-01,8,2056,35.1,272.06
"1","Warehouse_LA","Houston","FedEx","Thursday",2023-01-05,2023-01-23,18,1814,11.5,244.22
"0","Warehouse_MIA","Minneapolis","USPS","Wednesday",2023-07-19,2023-07-25,6,1454,11.6,184.5
"0","Warehouse_NYC","Miami","USPS","Saturday",2023-06-17,2023-06-19,2,543,105,180.26
"0","Warehouse_BOS","Atlanta","DHL","Sunday",2023-07-30,2023-08-02,3,1142,13.8,167.23
"0","Warehouse_MIA","Portland","FedEx","Wednesday",2023-06-07,2023-06-10,3,810,14.1,137.25
"1","Warehouse_CHI","Portland","Amazon Logistics","Monday",2023-08-14,2023-08-27,13,1081,30.3,154.16
"0","Warehouse_DEN","Phoenix","Amazon Logistics","Saturday",2023-01-21,2023-01-22,1,152,19.4,40.24
"0","Warehouse_NYC","Phoenix","DHL","Friday",2023-09-15,2023-09-20,5,1120,10,156.13
"0","Warehouse_SEA","Portland","Amazon Logistics","Sunday",2023-01-01,2023-01-10,9,2327,22.8,319.99
"1","Warehouse_HOU","Dallas","Amazon Logistics","Sunday",2023-09-24,2023-10-06,12,1376,7.1,197.9
"0","Warehouse_SF","Houston","Amazon Logistics","Saturday",2023-11-25,2023-11-30,5,2380,17.5,347.71
"0","Warehouse_LA","Minneapolis","LaserShip","Wednesday",2023-09-20,2023-09-24,4,694,25.6,108.01
"0","Warehouse_HOU","New York","FedEx","Tuesday",2023-07-04,2023-07-08,4,1791,19.6,261.42
"0","Warehouse_LA","New York","OnTrac","Sunday",2023-04-30,2023-05-02,2,411,15.7,67.25
"0","Warehouse_SEA","San Francisco","OnTrac","Wednesday",2023-12-20,2023-12-26,6,1073,7.5,158.02
"0","Warehouse_MIA","Minneapolis","FedEx","Saturday",2023-07-29,2023-08-02,4,1634,23.5,261.49
"0","Warehouse_BOS","San Francisco","USPS","Sunday",2023-02-19,2023-02-25,6,2411,4.5,277.56
"0","Warehouse_SEA","Detroit","UPS","Thursday",2023-03-02,2023-03-10,8,2481,11.9,197.9
"0","Warehouse_SEA","Detroit","FedEx","Sunday",2023-12-10,2023-12-15,5,2052,26.5,345.27
"0","Warehouse_NYC","Dallas","LaserShip","Monday",2023-11-06,2023-11-14,8,2465,12.8,378.16
"0","Warehouse_LA","Chicago","DHL","Sunday",2023-02-19,2023-02-24,5,1213,29.3,206.8
"0","Warehouse_LA","Houston","LaserShip","Sunday",2023-05-14,2023-05-18,4,1247,15.5,174.55
"1","Warehouse_SF","New York","OnTrac","Monday",2023-10-16,2023-10-22,6,2278,19,321.04
"1","Warehouse_BOS","San Francisco","USPS","Tuesday",2023-05-30,2023-06-07,8,2406,15.3,300.44
"0","Warehouse_BOS","Denver","UPS","Saturday",2023-07-15,2023-07-19,4,1596,4.2,208.73
"0","Warehouse_HOU","San Francisco","OnTrac","Tuesday",2023-01-31,2023-02-03,3,1108,20.1,169.98
"0","Warehouse_LA","Portland","LaserShip","Thursday",2023-12-28,2024-01-03,6,1380,9.6,195.3
"0","Warehouse_DEN","Dallas","UPS","Tuesday",2023-03-28,2023-04-02,5,1605,5.3,197.9
"1","Warehouse_LA","Atlanta","USPS","Saturday",2023-12-09,2023-12-23,14,1504,10.8,232.88
"0","Warehouse_SF","Boston","DHL","Tuesday",2023-01-31,2023-02-05,5,2138,61.1,350.67
"1","Warehouse_HOU","New York","OnTrac","Saturday",2023-09-16,2023-09-28,12,754,20.1,112.36
"0","Warehouse_NYC","Los Angeles","USPS","Thursday",2023-03-16,2023-03-20,4,320,27.9,65.87
"0","Warehouse_LA","Houston","LaserShip","Thursday",2023-03-16,2023-03-20,4,1657,22.8,242.14
"0","Warehouse_MIA","Detroit","DHL","Friday",2023-11-03,2023-11-07,4,1423,14.7,285.59
"0","Warehouse_LA","Seattle","FedEx","Tuesday",2023-09-12,2023-09-17,5,1135,32.1,193.72
"1","Warehouse_BOS","Phoenix","DHL","Thursday",2023-05-18,2023-06-04,17,737,8.7,121.73
"0","Warehouse_BOS","Detroit","DHL","Wednesday",2023-10-25,2023-10-27,2,796,33.7,162.31
"0","Warehouse_CHI","Chicago","FedEx","Friday",2023-12-15,2023-12-17,2,308,28.8,96.12
"0","Warehouse_HOU","San Francisco","FedEx","Friday",2023-12-15,2023-12-20,5,787,9.1,125.92
"0","Warehouse_ATL","Denver","Amazon Logistics","Monday",2023-08-28,2023-09-05,8,2074,28.5,284.4
"0","Warehouse_HOU","Chicago","DHL","Friday",2023-09-22,2023-09-27,5,1145,88,297.28
"0","Warehouse_DEN","Minneapolis","OnTrac","Wednesday",2023-06-07,2023-06-12,5,1719,21.9,197.9
"0","Warehouse_NYC","Los Angeles","USPS","Friday",2023-08-04,2023-08-09,5,1082,24.1,141.81
"0","Warehouse_ATL","Dallas","FedEx","Saturday",2023-12-23,2023-12-26,3,1204,11.9,192.63
"0","Warehouse_HOU","Denver","LaserShip","Monday",2023-09-04,2023-09-07,3,1030,17.9,133.27
"0","Warehouse_BOS","Dallas","Amazon Logistics","Thursday",2023-05-18,2023-05-20,2,603,38.1,120.04
"0","Warehouse_ATL","Boston","UPS","Friday",2023-07-14,2023-07-19,5,1660,4.9,203.03
"0","Warehouse_CHI","Chicago","FedEx","Wednesday",2023-09-06,2023-09-09,3,862,86.2,210.89
"0","Warehouse_CHI","Dallas","UPS","Wednesday",2023-06-28,2023-07-03,5,1322,12.6,176.77
"0","Warehouse_HOU","Denver","UPS","Monday",2023-06-19,2023-06-22,3,1030,33.8,161.45
"1","Warehouse_MIA","Minneapolis","FedEx","Friday",2023-04-28,2023-05-07,9,573,14.1,87.12
"1","Warehouse_BOS","Portland","Amazon Logistics","Wednesday",2023-09-13,2023-09-18,5,585,19.3,98.54
"0","Warehouse_HOU","Phoenix","USPS","Sunday",2023-12-10,2023-12-13,3,1469,16.6,219.37
"0","Warehouse_SEA","New York","OnTrac","Wednesday",2023-11-29,2023-12-05,6,1053,16.1,161.74
"0","Warehouse_DEN","Portland","Amazon Logistics","Monday",2023-03-13,2023-03-14,1,156,8.8,27.23
"1","Warehouse_BOS","Portland","Amazon Logistics","Wednesday",2023-03-01,2023-03-06,5,1760,12.1,247.5
"1","Warehouse_CHI","Detroit","FedEx","Wednesday",2023-08-30,2023-09-12,13,283,19.8,63.39
"0","Warehouse_HOU","Houston","OnTrac","Sunday",2023-12-24,2023-12-27,3,397,22.2,81.13
"0","Warehouse_ATL","Los Angeles","Amazon Logistics","Saturday",2023-08-12,2023-08-16,4,816,18.5,109.5
"0","Warehouse_HOU","Los Angeles","LaserShip","Friday",2023-04-28,2023-05-01,3,715,10,96.03
"0","Warehouse_NYC","Phoenix","UPS","Wednesday",2023-05-24,2023-05-28,4,1956,25.9,285.87
"0","Warehouse_BOS","Chicago","Amazon Logistics","Sunday",2023-07-30,2023-08-04,5,2187,22.8,277.9
"0","Warehouse_NYC","Seattle","USPS","Thursday",2023-09-14,2023-09-20,6,2172,85.5,345.35
"0","Warehouse_MIA","Denver","OnTrac","Friday",2023-08-25,2023-08-28,3,816,31.8,125.07
"0","Warehouse_LA","Atlanta","DHL","Friday",2023-06-30,2023-07-07,7,1236,3.1,185.13
"0","Warehouse_SF","New York","Amazon Logistics","Saturday",2023-06-24,2023-06-29,5,1902,54.9,319.88
"0","Warehouse_SEA","Denver","DHL","Wednesday",2023-10-11,2023-10-15,4,1038,17.6,167.63
"0","Warehouse_SEA","Houston","LaserShip","Wednesday",2023-05-24,2023-05-28,4,1590,8.7,188.16
"0","Warehouse_HOU","Houston","LaserShip","Monday",2023-04-03,2023-04-07,4,1105,44,167.48
"0","Warehouse_MIA","Minneapolis","USPS","Friday",2023-02-17,2023-02-20,3,1153,16.7,152.32
"0","Warehouse_LA","Minneapolis","USPS","Monday",2023-03-20,2023-03-23,3,1124,21.9,167.58
"0","Warehouse_LA","New York","LaserShip","Tuesday",2023-02-28,2023-03-05,5,2074,3.6,230.21
"0","Warehouse_HOU","Seattle","UPS","Thursday",2023-12-28,2023-12-30,2,302,32.7,97.49
"0","Warehouse_DEN","Chicago","USPS","Friday",2023-11-03,2023-11-08,5,2073,13.6,316.04
"0","Warehouse_NYC","Portland","Amazon Logistics","Friday",2023-01-27,2023-02-26,30,2132,5.5,259.45
"0","Warehouse_BOS","Chicago","Amazon Logistics","Thursday",2023-03-02,2023-03-05,3,569,27.5,111.16
"0","Warehouse_BOS","Los Angeles","UPS","Saturday",2023-11-11,2023-11-16,5,2433,21.5,437.58
"0","Warehouse_ATL","Denver","LaserShip","Sunday",2023-01-15,2023-01-17,2,677,24.8,110.65
"0","Warehouse_LA","Denver","UPS","Saturday",2023-11-11,2023-11-16,5,984,17.9,191.48
"0","Warehouse_DEN","Miami","DHL","Friday",2023-05-19,2023-05-22,3,420,34.9,102.14
"0","Warehouse_MIA","Dallas","FedEx","Tuesday",2023-02-28,2023-03-01,1,338,27.1,79.46
